Date,Time,Category,Item,Qty,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Notes,Customer ID
2024-12-21,11:39:34,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,F3e6HvSqVpzTb8ecXgVEVefrPvWZY,A pint of home made vodka sauce,6HCR8PK8EQ8RWXMX1HJE2CXYZW
2024-12-21,11:39:34,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,F3e6HvSqVpzTb8ecXgVEVefrPvWZY,,6HCR8PK8EQ8RWXMX1HJE2CXYZW
2024-12-21,11:37:28,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,55wLpNZdx2M96kJjhlXgOPnxAjUZY,,WT6T8KMVRED40KWE00B46K8EJ8
2024-12-21,11:37:28,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,55wLpNZdx2M96kJjhlXgOPnxAjUZY,,WT6T8KMVRED40KWE00B46K8EJ8
2024-12-21,11:37:05,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,TSci9WrVktsXEoIZfEW0NUQxppbZY,,
2024-12-21,11:37:05,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,TSci9WrVktsXEoIZfEW0NUQxppbZY,,
2024-12-21,11:20:50,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,ldfnlBGOw89i350hGdcovsFSIOFZY,,
2024-12-21,11:11:17,None,Custom Amount,1,$20.00,$0.00,$20.00,$1.85,RtwH24XVPPaEtJiFsypWWfVH6CSZY,,0HWETGW6GW779HEC70VSVANMQG
2024-12-21,11:09:13,Sauce,Bolognese,1,$10.00,$0.00,$10.00,$0.93,LE57TBijFUW6fX1syUZ9B1Z0BrJZY,,AMJBK2ZSY2H64HY42T5V5YJ69G
2024-12-21,11:09:13,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,LE57TBijFUW6fX1syUZ9B1Z0BrJZY,,AMJBK2ZSY2H64HY42T5V5YJ69G
2024-12-21,11:09:13,None,Custom Amount,1,$5.00,$0.00,$5.00,$0.46,LE57TBijFUW6fX1syUZ9B1Z0BrJZY,,AMJBK2ZSY2H64HY42T5V5YJ69G
2024-12-21,10:57:33,Sauce,Vodka Sauce Add On (Large),2,$30.00,$0.00,$30.00,$2.78,fa1OTDoHwrW5pGTaiqBgQmbKhdaZY,A full quart of of our home made vodka sauce.,QVW1TXRHX90273KMDM6B4TAPZW
2024-12-21,10:56:23,Sauce,Bolognese,2,$20.00,$0.00,$20.00,$1.85,p7Fxe8LANExU0BS3r6pTrReCNj8YY,,
