latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,-21600,America/Chicago,GMT-6

time,temperature_2m_max (°F),rain_sum (inch)
2024-01-01,46.0,0.016
2024-01-02,48.0,0.441
2024-01-03,51.9,0.028
2024-01-04,45.6,0.075
2024-01-05,33.6,0.051
2024-01-06,32.6,0.000
2024-01-07,31.2,0.000
2024-01-08,23.1,0.000
2024-01-09,23.4,0.000
2024-01-10,26.4,0.000
2024-01-11,31.8,0.000
2024-01-12,33.9,0.000
2024-01-13,35.8,0.083
2024-01-14,36.1,0.087
2024-01-15,35.3,0.004
2024-01-16,32.7,0.000
2024-01-17,30.0,0.000
2024-01-18,30.6,0.000
2024-01-19,33.3,0.000
2024-01-20,35.5,0.000
2024-01-21,38.6,0.008
2024-01-22,48.8,0.126
2024-01-23,47.5,0.189
2024-01-24,52.1,0.055
2024-01-25,46.8,0.000
2024-01-26,48.5,0.181
2024-01-27,43.7,0.000
2024-01-28,44.1,0.000
2024-01-29,48.9,0.000
2024-01-30,46.7,0.000
2024-01-31,43.6,0.051
2024-02-01,46.0,0.000
2024-02-02,48.6,0.004
2024-02-03,50.6,0.043
2024-02-04,50.0,0.268
2024-02-05,49.7,0.205
2024-02-06,51.9,0.402
2024-02-07,42.7,0.020
2024-02-08,38.6,0.039
2024-02-09,45.0,0.272
2024-02-10,55.2,0.079
2024-02-11,47.4,0.268
2024-02-12,48.6,0.016
2024-02-13,47.6,0.000
2024-02-14,48.3,0.185
2024-02-15,55.7,0.000
2024-02-16,59.9,0.083
2024-02-17,50.4,0.000
2024-02-18,49.5,0.161
2024-02-19,47.7,0.201
2024-02-20,48.6,0.106
2024-02-21,51.9,0.008
2024-02-22,52.8,0.197
2024-02-23,49.0,0.000
2024-02-24,51.2,0.000
2024-02-25,53.5,0.000
2024-02-26,52.0,0.000
2024-02-27,43.3,0.000
2024-02-28,40.2,0.000
2024-02-29,48.8,0.000
2024-03-01,51.1,0.004
2024-03-02,55.2,0.000
2024-03-03,56.7,0.000
2024-03-04,54.5,0.000
2024-03-05,44.8,0.000
2024-03-06,45.1,0.000
2024-03-07,46.5,0.000
2024-03-08,47.9,0.000
2024-03-09,49.3,0.000
2024-03-10,54.0,0.000
2024-03-11,55.7,0.000
2024-03-12,57.7,0.000
2024-03-13,57.3,0.000
2024-03-14,58.7,0.000
2024-03-15,65.1,0.008
2024-03-16,54.9,0.051
2024-03-17,47.8,0.000
2024-03-18,44.7,0.000
2024-03-19,49.5,0.000
2024-03-20,62.8,0.024
2024-03-21,58.7,0.331
2024-03-22,54.6,0.252
2024-03-23,46.6,0.346
2024-03-24,45.9,0.197
2024-03-25,48.8,0.024
2024-03-26,56.1,0.000
2024-03-27,65.1,0.000
2024-03-28,58.5,0.047
2024-03-29,60.4,0.047
2024-03-30,73.3,0.000
2024-03-31,66.8,0.000
2024-04-01,67.6,0.028
2024-04-02,56.8,0.000
2024-04-03,53.3,0.256
2024-04-04,58.0,0.213
2024-04-05,65.1,0.059
2024-04-06,73.6,0.000
2024-04-07,73.8,0.000
2024-04-08,80.2,0.000
2024-04-09,79.2,0.075
2024-04-10,58.9,0.000
2024-04-11,63.0,0.000
2024-04-12,67.3,0.000
2024-04-13,71.7,0.000
2024-04-14,62.1,0.000
2024-04-15,57.2,0.094
2024-04-16,50.1,0.000
2024-04-17,50.9,0.000
2024-04-18,53.0,0.000
2024-04-19,46.9,0.000
2024-04-20,47.0,0.000
2024-04-21,47.3,0.000
2024-04-22,43.1,0.000
2024-04-23,48.9,0.000
2024-04-24,49.5,0.051
2024-04-25,49.1,0.008
2024-04-26,58.3,0.000
2024-04-27,70.2,0.000
2024-04-28,75.4,0.000
2024-04-29,71.8,0.000
2024-04-30,83.9,0.000
2024-05-01,81.2,0.000
2024-05-02,79.2,0.000
2024-05-03,73.6,0.031
2024-05-04,69.4,0.000
2024-05-05,68.7,0.024
2024-05-06,67.5,0.000
2024-05-07,61.0,0.000
2024-05-08,64.9,0.000
2024-05-09,68.8,0.000
2024-05-10,71.8,0.000
2024-05-11,67.1,0.000
2024-05-12,69.8,0.000
2024-05-13,75.9,0.000
2024-05-14,78.3,0.000
2024-05-15,79.3,0.000
2024-05-16,79.2,0.000
2024-05-17,77.8,0.000
2024-05-18,66.2,0.087
2024-05-19,67.5,0.016
2024-05-20,71.1,0.110
2024-05-21,80.4,0.000
2024-05-22,76.0,0.031
2024-05-23,73.8,0.000
2024-05-24,76.7,0.551
2024-05-25,74.9,0.000
2024-05-26,77.3,0.000
2024-05-27,77.1,0.008
2024-05-28,65.3,0.264
2024-05-29,71.3,0.008
2024-05-30,68.9,0.150
2024-05-31,73.2,0.000
2024-06-01,78.6,0.016
2024-06-02,76.5,0.000
2024-06-03,61.5,0.000
2024-06-04,68.5,0.000
2024-06-05,68.4,0.094
2024-06-06,68.5,0.020
2024-06-07,69.1,0.000
2024-06-08,78.2,0.000
2024-06-09,69.3,0.000
2024-06-10,65.3,0.051
2024-06-11,62.3,0.004
2024-06-12,63.2,0.000
2024-06-13,65.2,0.000
2024-06-14,66.9,0.016
2024-06-15,71.6,0.236
2024-06-16,75.2,0.000
2024-06-17,75.5,0.004
2024-06-18,80.4,0.146
2024-06-19,64.4,0.051
2024-06-20,73.6,0.000
2024-06-21,81.4,0.169
2024-06-22,72.7,0.323
2024-06-23,73.3,0.000
2024-06-24,77.0,0.000
2024-06-25,79.9,0.000
2024-06-26,86.8,0.000
2024-06-27,86.3,0.205
2024-06-28,81.9,0.000
2024-06-29,85.6,0.299
2024-06-30,79.6,0.114
2024-07-01,68.0,0.177
2024-07-02,63.1,0.043
2024-07-03,63.2,0.004
2024-07-04,66.0,0.106
2024-07-05,70.5,0.000
2024-07-06,88.0,0.031
2024-07-07,72.7,0.000
2024-07-08,79.2,0.000
2024-07-09,88.0,0.000
2024-07-10,84.7,0.681
