#  Davidson County, Tennessee 24-Month Period Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
202301,109.80,12.79
202302,107.57,10.60
202303,99.18,2.23
202304,100.36,3.40
202305,100.15,3.14
202306,100.34,3.39
202307,100.61,3.69
202308,97.80,0.89
202309,94.96,-1.96
202310,91.54,-5.34
202311,91.71,-5.18
202312,90.99,-5.90
202401,90.91,-6.10
202402,86.00,-10.97
202403,85.48,-11.47
202404,84.28,-12.68
202405,88.55,-8.46
202406,89.90,-7.05
202407,87.87,-9.05
202408,85.17,-11.74
202409,91.21,-5.71
202410,89.77,-7.11
202411,89.62,-7.27
202412,89.37,-7.52
